w1,w2,w3,w4,color,connection
extent,range,reach,scope,0,breadth
brush,comb,dryer,iron,1,hair tools
arms,coat,crest,shield,2,heraldry terms
ear,kettle,oil,steel,3,words before “drum”
flash,heartbeat,jiff,wink,0,brief moment
clash,scrap,tangle,tiff,1,dispute
jack,love,squat,zip,2,slang for zero
cane,monocle,spat,top hat,3,accessories for mr. peanut
dump,mess,pigpen,sty,0,disorderly place
firm,solid,sound,stable,1,sturdy
caramel,peanuts,popcorn,prize,2,found in cracker jacks
charley,crazy,dark,gift,3,___ horse
desire,drive,resolve,will,0,intrinsic motivators
hat,shorts,sunglasses,tee,1,summer gear
array,battery,set,series,2,collection
fly,power,radish,shoe,3,horse___
bed,chair,couch,table,0,pieces of furniture
bear,harbor,hold,maintain,1,"carry, as a feeling"
balanced,dry,full,sweet,2,wine tasting descriptors
goldilocks,ironic,leadership,tinder,3,starting with metals
boil,fry,poach,scramble,0,ways to prepare eggs
buzz,kick,rush,thrill,1,exhilaration
axe,dart,horseshoe,ring,2,thrown in target games
body,bubble,gift,shrink,3,___ wrap
benchmark,gauge,standard,yardstick,0,model for reference
bet,call,check,fold,1,poker actions
combination,dry,normal,oily,2,skin types
kent,mary,mass,wash,3,starts of u.s. states
jab,poke,prod,stick,0,thrust
adder,boa,mamba,moccasin,1,kinds of snakes
ball,prince,pumpkin,slipper,2,seen in “cinderella”
bowtie,elbow,tube,wheel,3,pasta shapes
🥓,🍞,🥬,🧀,0,food slang for money
🧠,✈️,🌧️,🚂,1,words that rhyme
👽,🧛,🪚,😱,2,horror movies
🐝,🐑,👁️,🫖,3,letter homophones
fall,slip,spill,trip,0,take a tumble
mineral,spring,still,tap,1,kinds of water
corset,diabolo,hourglass,wasp,2,things that are cinched in the middle
boo-boo,brown,honey,teddy,3,___ bear
gasps,huffs,pants,puffs,0,breathes heavily
cans,cures,salts,smokes,1,"preserves, as meat"
binds,jams,pickles,spots,2,predicaments
kettles,mittens,raindrops,whiskers,3,things in “my favorite things”
mighty,pretty,really,very,0,especially
daisy,goofy,happy,lady,1,disney characters
baby,navy,sky,tiffany,2,kinds of blue
army,colony,livery,shiny,3,"body parts plus ""y"""
departed,left,split,went,0,exited
ace,aviator,flier,pilot,1,one flying an airplane
blue,fin,gray,right,2,kinds of whales
atm,casino,schedule,spatula,3,things with slots
amend,correct,fix,revise,0,update for accuracy
fight,row,scrap,tiff,1,quarrel
bingo,lottery,roulette,war,2,games of chance
blue,computer,poker,potato,3,___ chip
bass,bassoon,harp,recorder,0,musical instruments
bloom,bud,shoot,sprout,1,plant growths
foster,nurse,raise,rear,2,bring up
corona,flare,light,radiation,3,solar emanations
clip,pace,rate,speed,0,how fast something is going
faster,go,hurry,move,1,"""step on it!"""
clipper,pacer,rocket,spur,2,n.b.a. team player
commute,medicine,prompter,vision,3,tele___
beige,camel,khaki,tan,0,yellow-brown shades
cut,ditch,miss,skip,1,fail to attend
blowout,romp,rout,sweep,2,decisive victory
cheese,color,hamster,prayer,3,___ wheel
credit,glory,praise,props,0,kudos
discover,find,learn,realize,1,become aware of
chase,tail,track,shadow,2,pursue
name,photo,stamp,visa,3,seen in a passport
cricket,frog,hare,kangaroo,0,jumping animals
crush,mash,press,squash,1,apply pressure to
breaking,hockey,skeleton,trampoline,2,olympic sports
mood,record,table,volleyball,3,things you can set
gab,jaw,yak,yap,0,"chat, informally"
cow,doe,ewe,hen,1,female animals
bib,eye,gag,pop,2,palindromes
ear,mar,mer,sat,3,starts of planet names
astroturf,jumbotron,scoreboard,skybox,0,seen at a sports stadium
fujifilm,hasselblad,olympus,polaroid,1,camera brands
bolognese,neapolitan,parmesan,venetian,2,italian demonyms
creamsicle,journeyman,kisscam,rushmore,3,starting with rock bands
cast,genre,plot,title,0,movie summary info
affect,airs,charade,front,1,pretense
berry,king,page,waters,2,famous guitarists
fiddle,guess,nature,wind,3,second ___
cycle,phase,round,stage,0,segment of a process
cygnus,gemini,orion,pegasus,1,constellations
cyclone,galaxy,snail,sunflower,2,spirals in nature
cyclops,monologue,solitaire,unicycle,3,associated with “one”
absurdity,folly,madness,nonsense,0,foolishness
advance,march,progress,push,1,move forward
cheese,feet,garbage,skunk,2,things that might stink
cut,fake,freeze,six,3,words after “deep”
contract,lessen,reduce,shrink,0,get smaller
business,coach,first,premium,1,airline classes
check,review,screen,vet,2,"examine, as an applicant"
finale,pilot,premiere,special,3,notable tv episodes
blast,knock,slam,trash,0,criticize
apologies,oops,pardon,sorry,1,“my mistake!”
defense,excuse,out,reason,2,alibi
date,dead,dirty,doh,3,play ___
hit,smash,success,winner,0,box office victory
bump,serve,set,spike,1,volleyball moves
moo,new,pie,row,2,homophones of greek letters
daddy,day,jackie,jell,3,___-o
candy,costume,decorations,pumpkin,0,halloween purchases
anise,fennel,licorice,tarragon,1,plants with similar flavors
bean,melon,noodle,nut,2,food slang for head
baguette,emerald,princess,radiant,3,gemstone cuts
class,division,rank,tier,0,section
and,also,plus,with,1,including
boston,golden,lab,pit,2,"dog breeds, informally"
daddy,harlem,howl,if,3,famous poems
baby,mother,pamper,spoil,0,treat with excessive care
booty,bum,can,rear,1,backside
robe,slippers,towel,washcloth,2,things in a spa locker room
cradle,eye,meow,pajamas,3,cat’s ___
ball,bone,frisbee,stick,0,things a dog can fetch
block,cover,hide,obscure,1,conceal
command,control,option,shift,2,mac keyboard keys
blank,flake,forget,space,3,experience a memory lapse
down,inhale,scarf,wolf,0,eat voraciously
concentration,degree,major,minor,1,areas of academic focus
blanket,broad,general,sweeping,2,universal
bar,cadet,heater,station,3,space ___
dart,hem,pleat,seam,0,things to sew
can,cure,dry,freeze,1,ways to preserve food
bite,edge,punch,spice,2,sharp quality
condo,haw,hero,loo,3,birds minus last letter
collective,common,joint,mutual,0,shared
clear,drain,empty,flush,1,rid of contents
cigarette,pencil,ticket,toe,2,associated with “stub”
american,fever,lucid,pipe,3,___ dream
hangar,runway,tarmac,terminal,0,parts of an airport
action,claim,complaint,lawsuit,1,legal terms
beanbag,club,ring,torch,2,things a juggler juggles
foxglove,gumshoe,turncoat,windsock,3,words ending in clothing
grande,mars,styles,swift,0,pop megastars
channel,means,medium,vehicle,1,method
outside,remote,slim,small,2,"unlikely, as chances"
large,legend,proof,room,3,living ___
hall,library,lounge,study,0,rooms in the game clue
associate,fellow,partner,peer,1,colleague
bunny,egg,jelly bean,peep,2,seen during easter
animal,birthmark,spy,unit,3,what a mole can be
mass,sea,slew,ton,0,large amount
buckle,cave,collapse,give,1,fall in under pressure
shout,snap,wave,whistle,2,ways to get attention
button,dance,flop,laugh,3,belly ___
agent,asset,mole,sleeper,0,intelligence operative
foot,line,meter,verse,1,units in poetry
couch,imply,intimate,suggest,2,express indirectly
kelvin,okay,potassium,thousand,3,what “k” might mean
bread,butter,garlic,parsley,0,garlic bread ingredients
bet,gamble,risk,stake,1,wager
adventure,fantasy,frontier,tomorrow,2,disneyland lands
baseball,cricket,fruit,vampire,3,___ bat
hop,jump,leap,spring,0,propel into the air
chest,coffer,safe,vault,1,place to store valuables
age,day,era,time,2,period
drib,flow,reed,tang,3,animals backward
american,blue,jack,swiss,0,"cheeses, familiarly"
hammer,hurdle,javelin,pole,1,track and field equipment
cuban,kitten,stiletto,wedge,2,kinds of heels
date,dutch,jeopardy,space,3,double ___
headband,mullet,neon,spandex,0,80s fashion trends
pike,split,straddle,tuck,1,gymnastics positions
animal,goldfish,oyster,ritz,2,kinds of crackers
corporate,rope,salmon,word,3,___ ladder
bitter,salty,sour,sweet,0,basic tastes
brave,confront,face,meet,1,"stand up to, as a challenge"
kind,sort,type,variety,2,ilk
expression,manner,romantic,surreal,3,"art movements, with -ism"
lumber,plod,stomp,trudge,0,walk heavily
elastic,limber,plastic,supple,1,flexible
foil,glove,jacket,mask,2,fencing equipment
bassinet,cellophane,harpoon,organism,3,words beginning with instruments
factory,mill,plant,shop,0,manufacturing locations
wind,wine,wing,wink,1,win + letter
core,rind,seed,stem,2,parts of fruit you might not eat
feather,heavy,light,middle,3,weights in boxing
caravan,fleet,parade,train,0,procession
olive,forest,lime,mint,1,shades of green
democratic,erotic,noble,sad,2,what “blue” might mean
book,cactus,hedgehog,skeleton,3,things with spines
bark,growl,howl,whine,0,dog sounds
arm,branch,chapter,wing,1,department
cradle,font,root,source,2,origin
clue,frown,mellow,preen,3,colors with their first letters changed
badgers,bugs,hounds,nags,0,pesters
annie,cabaret,cats,company,1,tony winners for best musical
computer,piano,super,tests,2,they have keys
fish,hard knocks,rock,thought,3,school of ___
bore,drag,drip,dud,0,party pooper
brass,rhythm,string,wind,1,musical sections
bead,drop,glob,tear,2,bit of liquid
beat,charred,leak,pee,3,vegetable homophones
kindling,log,match,tinder,0,used in building a fire
blow,bumble,fluff,spoil,1,mess up
drill,grinder,router,saw,2,workshop tools
frame,handle,hinge,lock,3,parts of a door
graze,nibble,peck,snack,0,eat a little
hunt,track,trail,stalk,1,pursue
beans,pasta,stock,vegetables,2,ingredients in minestrone
broad,fore,pod,type,3,___cast
curl,lock,ringlet,tress,0,bit of hair
coverage,exposure,press,publicity,1,media attention
dom,ion,ness,ship,2,noun suffixes
family,flea,flying,media,3,___ circus
croc,loafer,moccasin,slipper,0,comfy shoes
boa,headdress,pillow,shuttlecock,1,things made with feathers
basic,java,python,ruby,2,programming languages
cobra,inspiration,lightning,union,3,things that can strike
monitor,survey,track,watch,0,follow attentively
beach,desert,hourglass,playground,1,where you might find sand
bake,broil,light,timer,2,oven buttons
blur,oasis,pulp,suede,3,britpop bands
brush,graze,kiss,skim,0,touch lightly
odd,perfect,prime,whole,1,kinds of numbers
oyster,plum,soy,xo,2,sauces in chinese cuisine
claw,fruit,hug,witness,3,bear ___
egg,goad,spur,urge,0,"encourage, with ""on"""
jawbreaker,meatball,mozzarella,orange,1,spherical foods
dairy,frozen,produce,snack,2,grocery store aisles
bananas,figure,fish,steady,3,go ___
drop,echo,freeze,lag,0,bad things for a video call to do
mime,prisoner,referee,sailor,1,costumes with striped shirts
genie,monkey,parrot,princess,2,seen in “aladdin”
apollo,candles,fantastic,samurai,3,movies minus numbers
buzz,drone,hum,purr,0,monotonous sounds
barge,dory,scow,sloop,1,boats
america,hook,morgan,nemo,2,captains
auto,bureau,demo,pluto,3,prefixes with -cracy
canary,fink,rat,snitch,0,stool pigeon
jam,pack,squeeze,stuff,1,cram into a tight space
cat,cow,mountain,triangle,2,yoga poses
butter,dragon,fire,horse,3,___fly
rewind,shuffle,skip,stop,0,music player buttons
air,run,screen,show,1,broadcast
bath,card,curtain,picture,2,things you can draw
eon,ether,net,tow,3,number anagrams
arrow,bow,quiver,target,0,archery equipment
bridge,gin,spit,war,1,card games
belt,clock,deck,slug,2,wallop
anchor,dragon,heart,rose,3,classic tattoos
crab,ray,sponge,squid,0,sea creatures
circle,diamond,square,triangle,1,basic two-dimensional shapes
bob,cross,hook,weave,2,boxing maneuvers
feast,free,pants,that,3,fancy ___
bright,flashy,garish,loud,0,"ostentatious, as an outfit"
gas,stinker,toot,wind,1,euphemisms for flatulence
dirty,honey,platinum,strawberry,2,kinds of blond
hug,of,oxygen,zero,3,what “o” might mean
brother,lord,please,sheesh,0,"""give me a break!"""
bishop,cardinal,pastor,prior,1,ecclesiastical titles
heart,madonna,prince,queen,2,rock & roll hall of fame inductees
deli,niece,roam,soul,3,city homophones
cocoa,coffee,mate,tea,0,drinks with caffeine
boring,dull,mundane,vanilla,1,unexciting
act,bit,routine,set,2,comedian’s performance
dirty,dry,twist,up,3,martini specifications
agency,company,enterprise,firm,0,commercial organization
coop,pen,stable,sty,1,farm fixtures
fluffy,rex,rover,spot,2,classic dog names
ink,lack,old,range,3,colors minus their first letters
break,holiday,leave,recess,0,time off
buckle,hole,loop,strap,1,features of a belt
holey,holi,holy,wholly,2,homophones
dog,drift,holly,sandal,3,___wood
clip,cut,pare,trim,0,make shorter
built,jacked,ripped,swole,1,muscular
buff,fan,lover,nut,2,enthusiast
brain,prune,pug,walnut,3,wrinkly things
cheer,glee,festivity,mirth,0,merriment
band,caterer,florist,officiant,1,booked for a wedding
choir,fire,liar,fryer,2,rhymes
barbecue,orchestra,snake,tar,3,___ pit
bang,hammer,pound,slam,0,hit hard
chronicle,herald,register,sun,1,newspaper names
banana,croissant,moon,sickle,2,crescent-shaped things
feather,flower,mushroom,star,3,power-ups in super mario world
pitch,plug,promote,push,0,do some marketing for
couple,item,pair,thing,1,romantic twosome
ad,all,deuce,love,2,tennis scoring terms
bread,dragon,jack,passion,3,words with “fruit”
crest,peak,summit,vertex,0,highest point
cell,contact,digits,number,1,“can i get your ___?” (phone info request)
baby,mini,pocket,toy,2,modifiers meaning “small”
bag,board,racks,tiles,3,inside a scrabble box
ache,burn,smart,sting,0,hurt
guard,mind,tend,watch,1,look after
brain,courage,heart,home,2,sought after in “the wizard of oz”
answer,two,wrist,wrong,3,silent “w”
ball,base,bat,glove,0,baseball equipment
blow,lick,sock,strike,1,hard hit
boot,iron,thimble,top hat,2,original monopoly tokens
bad,bugs,dust,honey,3,___ bunny
big,hot,in,popular,0,of-the-moment
character,glyph,icon,symbol,1,pictograph
assess,charge,fine,levy,2,"impose, as a penalty"
handsome,hippo,legend,lipid,3,words beginning with body parts
calculator,calendar,camera,clock,0,smartphone features beginning with “c”
cone,iris,lens,pupil,1,parts of the eye
dada,grammy,mum,poppy,2,familial nicknames
expose,pate,resume,rose,3,words pronounced differently with accent marks
coin,create,devise,invent,0,bring into being
fine,prime,quality,sterling,1,excellent
at,dollar,percent,pound,2,symbols above numbers on a keyboard
bar,buck,time,torch,3,pass the ___
baton,scepter,staff,wand,0,symbolic rods
cavity,crown,filling,plaque,1,dental terms
approved,paid,urgent,void,2,rubber stamp words
gap,leap,light,school,3,___ year
fleece,hose,rob,stiff,0,rip off
candle,crayon,honeycomb,seal,1,things made of wax
cabin,engine,nose,wing,2,parts of an airplane
bulb,ear,head,stalk,3,units of vegetables
dip,drop,fall,sink,0,decline
blaze,fly,race,tear,1,move with speed
modern,salsa,swing,tap,2,kinds of dance
boom,carrot,shower,talk,3,baby ___
cherry,fudge,nuts,sprinkles,0,sundae toppings
desert,ditch,maroon,strand,1,leave high and dry
curses,darn,rats,shoot,2,“phooey!”
fuzzy,peppers,seashells,woodchuck,3,words in tongue twisters
grandstand,peacock,posture,strut,0,show off
main,paramount,prime,supreme,1,foremost
blue,green,white,yellow,2,colors in brazil’s flag
chain,cover,love,scarlet,3,___ letter
mean,median,mode,range,0,data set data
base,bond,element,solution,1,chemistry terms
awful,pretty,rather,real,2,adjective intensifiers
glass,gross,king,stern,3,radio hall of fame members
con,dupe,fool,trick,0,deceive
dope,scoop,skinny,word,1,inside info
cant,lean,list,slope,2,tilt to one side
boob,eggshell,giggle,hello,3,words spelled with an upside-down calculator
ballot,roster,slate,ticket,0,list of candidates
buffer,cushion,pad,shield,1,protective barrier
capsule,cream,syrup,tablet,2,medicine formats
coat,green,pod,soup,3,pea ___
bill,check,invoice,tab,0,things to pay
pinch,rob,steal,swipe,1,thieve
buck,bull,jack,tom,2,male animals
jean,pant,short,tight,3,"legwear, in the singular"
badge,invite,pass,ticket,0,credentials for entry
chair,direct,lead,run,1,preside over
center,end,safety,tackle,2,american football positions
hold,punt,stall,table,3,postpone
issue,matter,point,subject,0,topic of discussion
chapter,period,phase,stage,1,section of one’s life
dash,shock,tank,wheel,2,"parts of a car, informally"
blew,choral,read,rows,3,color homophones
gas,liquid,plasma,solid,0,states of matter
great,hero,icon,legend,1,all-timer
phat,phew,philly,phish,2,“ph” words that also work with “f”
elevator,fever,perfect,sales,3,___ pitch
charm,curse,hex,spell,0,bit of magic
flue,grate,log,poker,1,found around a fireplace
cards,chips,dice,slots,2,things seen at a casino
crumble,melt,shred,slice,3,ways to prepare cheese
broom,mop,rag,sponge,0,cleaning supplies
salt,fat,acid,heat,1,"elements of cooking,  per samin nosrat"
dust,pepper,pollen,smoke,2,things that make you sneeze
magnum,monk,shaft,tracy,3,titular fictional detectives
basketball,carrot,goldfish,pumpkin,0,things that are orange
pole,rod,staff,stick,1,"long, skinny objects"
cart,club,hole,tee,2,seen on a golf course
circle,horseshoe,pitchfork,triangle,3,shapes of capital greek letters
alphabet,amazon,apple,meta,0,tech companies
bar,final,oral,physical,1,kinds of exams
beauty,gem,marvel,peach,2,something exemplary
baby,eye,sweet,wisdom,3,___ tooth
funk,musk,odor,tang,0,strong smell
rock,sway,swing,wave,1,move back and forth
afro,bone,fight,lock,2,things to pick
crystal,disco,foul,gutter,3,___ ball
josh,kid,rib,tease,0,playfully bother
height,max,peak,top,1,apex
dozen,gross,pair,score,2,words for specific quantities
adult,kiss,ten,times,3,what “x” might mean
bow,box,card,wrapping,0,gift-giving accessories
block,match,message,swipe,1,dating app actions
fire,lit,sick,tight,2,"cool, in slang"
break,charm,duck,strike,3,lucky ___
float,fly,glide,soar,0,move through the air
bug,mike,tap,wire,1,hidden listening devices
check,mark,tick,x,2,"select, as a box on a form"
40,cole,pain,tip,3,rappers minus first letter
bread,bacon,lettuce,tomato,0,b.l.t. ingredients
block,clog,jam,stop,1,obstruct
double,hit,run,walk,2,baseball stats
fry,talk,wonder,world,3,small ___
plant,seed,water,weed,0,gardening nouns/verbs
caesar,greek,green,wedge,1,kinds of salads
feud,millionaire,pyramid,wheel,2,"classic game shows, familiarly"
way,wee,why,whoa,3,w + vowel sound
club,group,party,team,0,organization
clarity,definition,detail,resolution,1,"sharpness, as of an image"
champagne,dijon,nice,tours,2,places in france
ball,countdown,fireworks,kiss,3,happy new year!
orca,panda,skunk,zebra,0,black-and-white animals
chain,series,string,train,1,sequence
bass,dove,desert,wind,2,heteronyms
bear,sand,speed,tourist,3,___ trap
crop,polo,tank,tee,0,shirts
bad,fly,fresh,rad,1,"cool, in ’80s slang"
bee,ex,gee,jay,2,letter spellings
boy,by,curious,saint,3,___ george
bumper,hood,tire,trunk,0,parts of a car
bolt,dart,dash,zip,1,move quickly
cardinal,jay,lark,swift,2,birds
hancock,holiday,monk,parker,3,jazz legends
message,omen,sign,warning,0,indication of things to come
gen,ms,prof,rev,1,name prefixes
charcoal,ink,paint,pastel,2,art mediums
bell,black,dr,ghost,3,___ pepper
alley,drive,lane,street,0,road names
folio,leaf,page,sheet,1,paper in a book
check,curb,limit,stem,2,restrain
blow,hold,pick,thumb,3,things you can do to your nose
baby,boo,dear,love,0,darling
line,point,ray,segment,1,basic geometric objects
energy,fire,juice,zip,2,oomph
agent,code,santa,sauce,3,secret ___
light,mellow,mild,soft,0,gentle
belly,chop,hock,shoulder,1,cuts of pork
crown,robe,tablet,torch,2,statue of liberty features
candle,dandelion,dice,eyelash,3,things to blow on for wishes/luck
boat,car,plane,train,0,means of transportation
down,game,in,on board,1,willing to participate
dash,drop,pinch,splash,2,"little bit, in a recipe"
blue,goose,rasp,straw,3,___berry [note no space]
angel,clown,pirate,witch,0,classic halloween costumes
comb,hive,honey,wax,1,bee creations
period,spell,stretch,while,2,interval of time
dear,hair,hoarse,wail,3,animal homophones
dryer,hamper,iron,washer,0,seen in a laundry room
direct,guide,lead,steer,1,shepherd
iodine,iota,myself,one,2,what “i” might mean
death,hidden,silicon,uncanny,3,___ valley
buzz,call,dial,ring,0,contact via phone
appendix,chapter,index,preface,1,book sections
dinky,little,minute,slight,2,wee
itchy,jerry,pinky,speedy,3,cartoon mice
belt,bracelet,tie,watch,0,accessories
bit,joke,routine,sketch,1,comedian’s output
appeal,charm,draw,pull,2,attraction
canine,freight,often,stone,3,two letters + number
flash,jiffy,second,wink,0,brief moment
chief,first,main,principal,1,primary
broadway,fifth,madison,park,2,avenues in n.y.c.
amateur,eleventh,happy,rush,3,___ hour
bank,save,stash,store,0,reserve for later
gall,guts,nerve,stones,1,"boldness, figuratively"
carrot,coal,snow,sticks,2,used to build a snowman
bone,business,girl,pages,3,funny ___
hoe,plow,rake,sickle,0,farm tools
plot,ploy,ruse,trick,1,scheme
amuse,delight,please,tickle,2,make happy
bang,plop,splash,thud,3,onomatopoeia
crab,crank,grouch,grump,0,curmudgeon
crouch,duck,squat,stoop,1,get low
anthem,flag,motto,seal,2,national symbols
cheat,crook,quack,shark,3,swindler
badger,bug,hound,nag,0,pester
arena,bowl,dome,field,1,sports venues
divide,fork,part,split,2,separate
fox,lining,screen,spoon,3,silver ___
bunker,fairway,green,rough,0,golf course parts
enough,mercy,stop,uncle,1,“i give!”
bawdy,blue,coarse,risque,2,indecent
bough,cough,dough,tough,3,”-ough” words that don’t rhyme
cloud,fog,haze,mist,0,murky condition
shadow,tail,track,trail,1,follow
ball,bumper,flipper,plunger,2,pinball machine components
ice,ire,fin,nether,3,___land countries
chiffon,satin,silk,velvet,0,luxurious fabrics
perch,roost,settle,land,1,come down to rest
eyelet,lace,sole,tongue,2,shoe parts
baby,blow,package,speech,3,things that are delivered
bank,bed,delta,mouth,0,parts of a river
breeze,cinch,picnic,snap,1,something easy to do
coil,spiral,twist,wind,2,wrap around in a circle
bound,leap,spring,vault,3,jump into the air
float,shake,split,sundae,0,ice cream treats
bolt,nail,rivet,screw,1,hardware fasteners
corn,olive,palm,peanut,2,kinds of cooking oil
fingers,note,rice,wicket,3,sticky ___
ebb,fade,flag,wane,0,decline
pure,sheer,total,utter,1,absolute
air,speak,state,voice,2,express
banner,prince,stark,wayne,3,superhero last names
hi,la,ma,ok,0,state abbreviations
bet,e,hallmark,usa,1,cable channels
alfa,bravo,romeo,tango,2,in the nato alphabet
boo,pom,tom,yo,3,___-___
clef,note,rest,staff,0,found on sheet music
bull,crab,scales,twins,1,zodiac symbols
capitol,columbia,virgin,island,2,record labels
can,gem,lib,tau,3,zodiac sign beginnings
big,giant,great,huge,0,enormous
fiction,humor,poetry,travel,1,bookstore sections
cheers,euphoria,felicity,glee,2,tv shows with happy-sounding names
construction,frasier,paper,whooping,3,___ crane
baguette,bun,loaf,roll,0,unit of bread
clinch,guarantee,lock,secure,1,"assure, as a win"
chip,mark,nick,scratch,2,small imperfection
hair,lettuce,state,steam,3,head of ___
cable,electric,gas,water,0,monthly bills
acoustic,auditory,heard,sonic,1,related to sound/hearing
couple,hitch,link,tie,2,connect
amp,fire,hype,pump,3,"excite, with “up”"
basket,bin,chest,hamper,0,containers
band,circle,hoop,ring,1,circular shapes
cap,check,curb,limit,2,restrict
nba,paper,pearl,traffic,3,___ jam
mall,market,outlet,store,0,places to shop
shave,thread,tweeze,wax,1,ways to remove hair
cut,piece,share,take,2,portion of profit
allen,crescent,monkey,socket,3,kinds of wrenches
dodge,duck,escape,skirt,0,avoid
birds,notorious,rebecca,rope,1,hitchcock movies
goose,hobbes,robin,watson,2,sidekicks
cottage,cream,say,string,3,___ cheese
arch,ball,sole,toe,0,foot parts
bass,harp,horn,organ,1,musical instruments
come,down,sit,stay,2,dog commands
dog,heel,jerk,snake,3,baddie
bedroom,den,kitchen,study,0,rooms in a house
atoll,bar,island,key,1,land surrounded by water
cram,jam,pack,stuff,2,fill to excess
bag,counter,dip,sprout,3,bean ___
hum,sing,scat,whistle,0,carry a tune
count,gross,sum,total,1,whole amount
lime,mint,rum,soda,2,mojito ingredients
glue,gum,tape,stick,3,things that are “sticky”
city,county,town,village,0,municipalities
chop,grind,pulse,puree,1,blender buttons
capital,equity,interest,stock,2,financial terms
ivy,justice,little,premier,3,___ league
hidden,private,remote,secret,0,secluded
amount,number,quantity,volume,1,aggregate size
canal,channel,sound,strait,2,bodies of water
96,mow,noon,sis,3,reads the same rotated 180°
knock,pan,roast,slam,0,criticize
alone,catfish,chopped,survivor,1,reality shows
fiat,jaguar,mini,ram,2,car brands
bachelor,lily,maxi,mouse,3,___ pad
pasty,pie,tart,turnover,0,foods with crusts
bouquet,parfait,ragout,rapport,1,ending in a silent “t”
japan,poland,tunisia,turkey,2,countries with red and white flags
bird,curry,james,jordan,3,n.b.a. greats
canyon,gulch,pass,ravine,0,areas between mountains and hills
gorge,gulp,scarf,wolf,1,eat voraciously
apple,bashful,mirror,queen,2,featured in “snow white”
chen,clark,cowl,craven,3,“c” + bird
canine,fang,molar,tusk,0,types of teeth
chic,hip,hot,in,1,fashionable
floss,robot,vogue,worm,2,dance moves
leech,straw,vacuum,vampire,3,things that suck
cardinal,lama,monk,pastor,0,religious figures
baboon,bonobo,gibbon,gorilla,1,primates
mango,mint,tamarind,tomato,2,chutney varieties
ape,mime,mirror,parrot,3,imitate
birth,creation,dawn,start,0,onset
august,grand,noble,regal,1,venerable
march,step,stride,tread,2,walk
earth,groundhog,labor,may,3,___ day holidays
gander,glance,glimpse,look,0,quick peek
act,bluff,charade,front,1,deceit
cliff,crag,ledge,ridge,2,parts of a mountain
peak,peek,peke,pique,3,homophones
dips,lunges,planks,squats,0,bodyweight exercises
best,cheers,regards,thanks,1,email sign-offs
cards,jays,nats,yanks,2,"m.l.b. teams, for short"
banks,moss,taylor,warren,3,elizabeths (and one elisabeth)
bull,hogwash,nonsense,rot,0,balderdash
direct,guide,lead,steer,1,helm
buffalo,deer,fish,moose,2,single/plural animals
dane,lake,seal,white,3,great ___
ew,ick,pu,ugh,0,“gross!”
o,ok,us,w,1,magazines
hai,ja,si,da,2,“yes” in different languages
oui,we,wee,wii,3,homophones
anger,fear,happiness,surprise,0,basic emotions
behold,presto,tada,voila,1,bit of vocal fanfare
get,land,secure,win,2,obtain
adam,carpenter,fire,red,3,___ ant
letter,paragraph,sentence,word,0,unit of language
feature,hallmark,stamp,trait,1,trademark
card,clown,cutup,joker,2,funny person
book,table,tea,tree,3,things with leaves
ford,grant,lincoln,wilson,0,presidents
coach,gm,player,scout,1,sports professionals
bmw,honda,jaguar,subaru,2,car companies
auto,post,semi,sub,3,common prefixes
light,short,spare,thin,0,sparse/lacking
ball,blast,kick,riot,1,fun time
boom,dolly,lens,tripod,2,filmmaking equipment
clue,grip,life,room,3,“get a ___!”
anise,dill,nutmeg,sage,0,spices
bright,quick,sharp,smart,1,intelligent
axe,degree,old spice,secret,2,deodorants
club,mace,spear,sword,3,medieval weapons
diet,exercise,fresh air,sleep,0,doctors’ orders
compose,forward,reply all,send,1,email actions
radiolab,serial,up first,wtf,2,podcasts
black,divine,prop,sketch,3,___ comedy
flip-flop,sunscreen,towel,umbrella,0,brought to the beach
curly,shoestring,waffle,wedge,1,types of french fries
hedge,see-saw,waver,yo-yo,2,equivocate
breeze,mary,mule,russian,3,second words of vodka cocktails
chime,ding,ping,ring,0,digital notification sounds
rat,sing,snitch,squeal,1,tattle
camp,division,faction,wing,2,group within a group
bing,edge,surface,word,3,microsoft products
bond,cd,option,stock,0,investments
lp,platter,vinyl,wax,1,terms for records
bouillon,die,ice,sugar,2,cube-shaped
funny,herring,soup,wish,3,words that go with “bone”
even,level,stable,steady,0,unchanging
lance,pin,skewer,spit,1,"long, sharp objects"
billboard,pitchfork,rolling stone,spin,2,music publications
uniform,bicycle,trilogy,quadrant,3,words with numerical prefixes
drill,practice,study,train,0,ways to prepare
hose,pipe,straw,tube,1,hollow cylinders
candlestick,knife,rope,wrench,2,weapons in the game clue
cigarette,bike,ticket,sports,3,“e-” things
however,still,though,yet,0,nevertheless
hear,knock,there,tut,1,repeated words in expressions
are,see,why,you,2,words abbreviated with letters
family,flush,jelly,we,3,royal ___
burn,kindle,light,torch,0,ignite
data,info,intel,news,1,information
dell,glen,hollow,valley,2,small wooded area
apple,computer,planet,reactor,3,things with cores
follow,like,share,subscribe,0,social media actions
darn,hem,seam,sew,1,use a needle and thread
er,house,ratched,scrubs,2,shows set in hospitals
erm,uh,um,well,3,expressions of hesitation
daisy,rose,tulip,violet,0,flowers
barn,chicken,farmer,tractor,1,seen on a farm
aster,carpenter,craven,wan,2,horror directors
dust,life,sports,yellow,3,___ jacket
beak,feather,talon,wing,0,bird features
flash,heartbeat,second,wink,1,blink of an eye
